http_method|url
POST|/product-enrichment/tpnb?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=6109
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=3345
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=5731
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=3120
POST|/product-enrichment/?fields=superDepartment%2Cdepartment%2Caisle%2Cshelf%2Cname
POST|/product-enrichment/?fields=superDepartment%2Cdepartment%2Caisle%2Cshelf%2Cname
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=2436
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=6271
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=2025
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=5135
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=2049
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=2470
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=2808
POST|/product-enrichment/?fields=superDepartment%2Cdepartment%2Caisle%2Cshelf%2Cname
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=2699
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=5652
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=2924
POST|/product-enrichment/?fields=superDepartment%2Cdepartment%2Caisle%2Cshelf%2Cname
POST|/product-enrichment/tpnb?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=3060
POST|/product-enrichment/tpnc?fields=id%2Ctpnb%2Cname%2Cbrand%2Cdescription%2Cavailability%2Cimage%2CAverageWeight%2CMaxWeight%2CMinWeight%2CIncrement%2CDisplayType%2Cprice%2CsuperDepartment%2Cdepartment%2Caisle%2Cshelf%2CBulkBuyLimit%2CDeliveryRestrictions%2CROA%2Cnew%2Cunitprice%2CUnitQuantity%2Cpromotions&store=2422
